
Single-Commodity-Flows:
 instance   k  exp.optimum  obj.value   w8.sum  cpu.time  bnb.nodes   result 
----------------------------------------------------------------------------
 g01.dat    2        46        46         46      0.01        0        pass
 g01.dat    5       477       477        477      0.11        0        pass
 g02.dat    4       373       373        373      0.22        0        pass
 g02.dat   10      1390      1390       1390      1.17        0        pass
 g03.dat   10       725       725        725      2.29      515        pass
 g03.dat   25      3074      3074       3074      7.02        0        pass
 g04.dat   14       909       909        909     11.65     1328        pass
 g04.dat   35      3292      3292       3292     19.12        0        pass
 g05.dat   20      1235      1235       1235     53.02     3350        pass
